product_id,product_name,category,subcategory,price,cost,supplier,lead_time_days,weight_kg,shelf_life_days,min_order_quantity,warehouse_location,margin_percent,base_demand,seasonality_strength,trend_coefficient,promotion_sensitivity,day_of_week_pattern
SKU_0001,Product 1,Food & Beverage,Subcategory 4,475.6,198.53,Supplier_11,10,12.01,30.0,10,WH_C,58.26,49,0.07550336380388922,0.0018732669926444143,1.7346051776187879,weekday_high
SKU_0002,Product 2,Beauty,Subcategory 5,302.55,211.08,Supplier_3,24,1.22,90.0,5,WH_D,30.23,50,0.7532462207474508,0.0004916234326301358,2.735079279045422,weekend_high
SKU_0003,Product 3,Electronics,Subcategory 4,307.77,150.08,Supplier_12,27,5.9,60.0,5,WH_D,51.24,20,0.27230185472029944,0.0018852173413490825,2.4879959674216354,weekday_high
SKU_0004,Product 4,Home & Garden,Subcategory 4,259.55,104.85,Supplier_3,7,12.19,180.0,1,WH_C,59.6,160,0.8974304098188842,-0.0001624968064469827,2.2603953620476105,uniform
SKU_0005,Product 5,Automotive,Subcategory 4,283.83,171.71,Supplier_9,28,2.04,90.0,20,WH_C,39.5,10,0.5265784666592938,0.0007093873548310319,1.6990781622541924,weekend_high
SKU_0006,Product 6,Beauty,Subcategory 3,455.11,207.28,Supplier_4,20,13.28,30.0,5,WH_D,54.45,55,0.800749771486121,0.00017477805598048728,2.8386103837035614,weekend_high
SKU_0007,Product 7,Clothing,Subcategory 2,227.63,156.69,Supplier_10,6,12.0,365.0,20,WH_A,31.16,110,0.9789314356159612,0.0008496069472704836,1.2811812189965817,weekend_high
SKU_0008,Product 8,Books,Subcategory 5,139.32,96.98,Supplier_13,11,6.0,180.0,1,WH_A,30.39,158,0.8397888594565706,-9.496530527103845e-05,1.3970416776224073,uniform
SKU_0009,Product 9,Beauty,Subcategory 1,103.36,60.13,Supplier_11,21,14.17,60.0,10,WH_A,41.82,99,0.8669937600115235,0.0016038241507751083,1.904934252972641,weekday_high
SKU_0010,Product 10,Office Supplies,Subcategory 2,62.36,31.88,Supplier_7,11,12.5,30.0,1,WH_D,48.88,119,0.4079844953648447,0.0016160196232863932,1.4239876031343415,weekend_high
SKU_0011,Product 11,Beauty,Subcategory 5,366.16,253.2,Supplier_8,24,17.76,,10,WH_A,30.85,173,0.5517225952593398,0.0018880907818086975,2.921548255606965,uniform
SKU_0012,Product 12,Home & Garden,Subcategory 1,362.26,156.63,Supplier_14,9,0.9,30.0,5,WH_D,56.76,191,0.2538885640433043,-0.00011331964779190943,2.63638077985809,weekday_high
SKU_0013,Product 13,Food & Beverage,Subcategory 1,160.61,75.27,Supplier_4,7,5.06,180.0,10,WH_A,53.13,66,0.1961130996934528,0.001058331377262477,1.6661687728832646,uniform
SKU_0014,Product 14,Food & Beverage,Subcategory 3,348.92,187.36,Supplier_2,12,16.18,,50,WH_B,46.3,10,0.5055078791060338,0.000685593271750924,2.259397612151842,weekday_high
